Typ gracza,Pieniądze na wstępie,Lekkomyślność,Rozrzutność,Minimalna oczekiwana ręka,Wynik_pieniężny_gra_1,Wynik_pieniężny_gra_2,Wynik_pieniężny_gra_3,Wynik_pieniężny_gra_4,Wynik_pieniężny_gra_5,Wynik_pieniężny_gra_6,Wynik_pieniężny_gra_7,Wynik_pieniężny_gra_8,Wynik_pieniężny_gra_9,Wynik_pieniężny_gra_10
AveragePlayer,2500,0.1,0.1,Two pair,1626,384,334,284,234,184,134,84,34,34
AveragePlayer,2500,0.1,0.1,Three-of-a-Kind,1750,630,560,510,460,410,360,310,260,110
AveragePlayer,2500,0.1,0.1,Three-of-a-Kind,1708,584,534,484,434,384,334,259,209,159
AveragePlayer,2500,0.1,0.1,Three-of-a-Kind,1750,1120,253,203,153,103,53,3,3,3
AveragePlayer,2500,0.1,0.1,Straight,2459,1617,638,583,533,483,433,363,313,263
AveragePlayer,2500,0.1,0.1,Straight,1708,1379,542,492,442,392,342,292,242,192
AveragePlayer,2500,0.1,0.1,Straight,1700,470,420,370,320,270,220,170,120,70
AveragePlayer,2500,0.1,0.1,Flush,2450,1732,1646,1564,1486,1436,1386,1336,1286,1236
AveragePlayer,2500,0.1,0.1,Flush,1460,205,180,130,130,80,30,30,30,30
AveragePlayer,2500,0.1,0.1,Flush,2125,929,879,829,779,729,679,629,414,364
AveragePlayer,2500,0.1,0.1,Full house,1750,1700,1650,452,402,352,327,277,227,177
AveragePlayer,2500,0.1,0.1,Full house,2450,1481,1431,1381,1331,1281,1231,1181,1131,1081
AveragePlayer,2500,0.1,0.1,Full house,2450,1155,1105,1055,1005,955,905,855,805,755
AveragePlayer,2500,0.1,0.1,Four-of-a-Kind,2105,2055,2005,1955,1905,1810,1760,1649,1599,1549
AveragePlayer,2500,0.1,0.1,Four-of-a-Kind,2450,2400,2350,2300,2250,2138,2088,2038,1988,1938
AveragePlayer,2500,0.1,0.1,Four-of-a-Kind,2450,2400,2350,2300,2250,2200,2150,2100,2050,849
AveragePlayer,2500,0.1,0.1,Straight flush,2450,1958,1236,1186,1136,1086,1036,986,936,886
AveragePlayer,2500,0.1,0.1,Straight flush,2450,2400,2350,2300,2250,2200,2150,2100,2050,2000
AveragePlayer,2500,0.1,0.1,Straight flush,2375,2325,2275,2225,2175,2125,2075,1972,1922,1872
AveragePlayer,2500,0.1,0.5,High card,565,424,318,0,0,0,0,0,0,0
AveragePlayer,2500,0.1,0.5,High card,0,0,0,0,0,0,0,0,0,0
AveragePlayer,2500,0.1,0.5,High card,565,424,318,239,189,119,69,19,19,0
AveragePlayer,2500,0.1,0.5,One pair,1200,900,675,507,0,0,0,0,0,0
AveragePlayer,2500,0.1,0.5,One pair,4391,12145,18292,18367,18442,18517,18545,18620,18695,18770
AveragePlayer,2500,0.1,0.5,One pair,565,424,281,231,181,131,61,11,0,0
AveragePlayer,2500,0.1,0.5,Two pair,514,218,168,118,68,18,18,18,18,0
AveragePlayer,2500,0.1,0.5,Two pair,1250,586,440,330,248,198,148,98,48,48
AveragePlayer,2500,0.1,0.5,Two pair,1810,280,230,180,130,80,30,30,5,5
AveragePlayer,2500,0.1,0.5,Three-of-a-Kind,0,0,0,0,0,0,0,0,0,0
AveragePlayer,2500,0.1,0.5,Three-of-a-Kind,0,0,0,0,0,0,0,0,0,0
AveragePlayer,2500,0.1,0.5,Three-of-a-Kind,625,469,352,264,214,164,114,64,14,14
AveragePlayer,2500,0.1,0.5,Straight,1850,901,676,470,353,265,215,162,112,62
